epoch,baroque,camo,color block,leopard,solid color,,
0,0.59829059880004,0.814814815256331,0.614583333333333,0.77450980275285,0.544554455740617,,0.669350601176634
1,0.675213675213675,0.896296296737812,0.739583333333333,0.941176469419517,0.554455445839627,,0.761345044108793
2,0.880341880851322,0.962962962962963,0.770833333333333,0.754901959615595,0.732673268507023,,0.820342681054047
3,0.931623931623932,0.940740741182256,0.78125,0.921568626282262,0.821782178217822,,0.879393095461255
4,0.837606838116279,0.977777777777778,0.802083333333333,0.931372547850889,0.811881188118812,,0.872144337039418
5,0.871794872813755,0.985185185185185,0.770833333333333,0.941176469419517,0.801980198609947,,0.874194011872347
6,0.905982907001789,0.918518518518518,0.875,0.941176469419517,0.762376238213907,,0.880610826630746
7,0.931623932133373,0.97037037037037,0.875,0.950980390988144,0.673267327322818,,0.880248404162941
8,0.914529915039356,0.985185185185185,0.833333333333333,0.941176469419517,0.851485148514851,,0.905142010298449
9,0.948717948717949,0.940740740740741,0.927083333333333,0.950980390988144,0.861386138613861,,0.925781710478806
10,0.914529915548797,0.977777777777778,0.84375,0.950980390988144,0.891089108910891,,0.915625438645122
11,0.880341881360763,0.962962962962963,0.895833333333333,0.960784312556772,0.920792079207921,,0.92414291388435
12,0.957264957264957,0.977777777777778,0.854166666666667,0.931372547850889,0.920792079207921,,0.928274805753642
13,0.957264957264957,0.97037037037037,0.864583333333333,0.941176469419517,0.96039603960396,,0.938758233998428
14,0.957264957264957,0.977777777777778,0.864583333333333,0.941176469419517,0.930693069306931,,0.934299121420503
15,0.957264957264957,0.977777777777778,0.854166666666667,0.921568626282262,0.95049504950495,,0.932254615499323
16,0.965811965811966,0.97037037037037,0.895833333333333,0.941176469419517,0.930693069306931,,0.940777041648424
17,0.905982905982906,0.985185185185185,0.854166666666667,0.950980390988144,0.97029702970297,,0.933322435705174
18,0.923076923076923,0.962962962962963,0.90625,0.950980390988144,0.930693069306931,,0.934792669266992
19,0.94017094017094,0.977777777777778,0.947916666666667,0.941176469419517,0.930693069306931,,0.947546984668366
20,0.94017094017094,0.992592592592593,0.916666666666667,0.921568626282262,0.95049504950495,,0.944298775043482
21,0.974358974358974,0.962962962962963,0.885416666666667,0.931372547850889,0.96039603960396,,0.942901438288691
22,0.965811965811966,0.962962962962963,0.875,0.950980390988144,0.98019801980198,,0.94699066791301
23,0.940170940680381,0.985185185185185,0.927083333333333,0.950980390988144,0.98019801980198,,0.956723573997805
24,0.957264957264957,0.985185185185185,0.833333333333333,0.931372547850889,0.98019801980198,,0.937470808687269
25,0.948717948717949,0.992592592592593,0.947916666666667,0.931372547850889,0.97029702970297,,0.958179357106214
26,0.957264957264957,0.985185185185185,0.822916666666667,0.931372547850889,0.97029702970297,,0.933407277334134
27,0.957264957264957,0.97037037037037,0.8125,0.941176470588235,0.97029702970297,,0.930321765585307
28,0.94017094017094,0.992592592592593,0.947916666666667,0.931372547850889,0.97029702970297,,0.956469955396812
29,0.94017094017094,0.985185185185185,0.885416666666667,0.941176469419517,0.99009900990099,,0.94840965426866
30,0.948717948717949,0.992592592592593,0.96875,0.941176469419517,0.97029702970297,,0.964306808086606
31,0.965811965811966,0.985185185185185,0.90625,0.901960783145007,0.97029702970297,,0.945900992769026
32,0.948717948717949,0.992592592592593,0.927083333333333,0.911764704713634,0.95049504950495,,0.946130725772492
33,0.965811965811966,0.992592592592593,0.947916666666667,0.921568626282262,0.99009900990099,,0.963597772250895
34,0.948717948717949,0.985185185185185,0.947916666666667,0.941176469419517,0.96039603960396,,0.956678461918656
35,0.948717948717949,0.992592592592593,0.947916666666667,0.950980390988144,0.96039603960396,,0.960120727713863
36,0.957264957264957,0.97037037037037,0.9375,0.950980390988144,0.94059405940594,,0.951341955605882
37,0.965811965811966,0.992592592592593,0.947916666666667,0.941176469419517,0.99009900990099,,0.967519340878346
38,0.957264957264957,0.992592592592593,0.822916666666667,0.941176469419517,0.98019801980198,,0.938829741149143
39,0.94017094017094,0.992592592592593,0.895833333333333,0.960784312556772,0.97029702970297,,0.951935641671322
40,0.965811965811966,0.992592592592593,0.958333333333333,0.931372547850889,0.98019801980198,,0.965661691878152
41,0.965811965811966,0.992592592592593,0.96875,0.921568626282262,0.96039603960396,,0.961823844858156
42,0.948717948717949,0.992592592592593,0.916666666666667,0.931372547850889,0.98019801980198,,0.953909555126015
43,0.948717948717949,0.992592592592593,0.875,0.941176469419517,0.97029702970297,,0.945556808086606
44,0.974358974358974,0.992592592592593,0.864583333333333,0.941176469419517,0.95049504950495,,0.944641283841874
45,0.957264957264957,0.992592592592593,0.958333333333333,0.941176469419517,0.97029702970297,,0.963932876462674
46,0.957264957264957,0.985185185185185,0.958333333333333,0.941176469419517,0.98019801980198,,0.964431593000995
47,0.957264957264957,0.985185185185185,0.9375,0.931372547850889,0.97029702970297,,0.9563239440008
48,0.94017094017094,0.985185185185185,0.8125,0.950980390988144,0.96039603960396,,0.929846511189646
49,0.923076923586364,0.992592592592593,0.90625,0.941176469419517,0.98019801980198,,0.948658801080091
