epoch,baroque,camo,color block,leopard,solid color
0,0.7723577235772358,0.8141592920353983,0.6396396412505759,0.8163265306122449,0.5566037758341376
1,0.8617886178861789,0.9646017699115044,0.5765765797984492,0.8877551020408163,0.811320756966213
2,0.8373983764066929,0.911504424778761,0.7657657673767021,0.9489795918367347,0.7924528279394474
3,0.9349593495934959,0.9380530973451328,0.7837837853947202,0.9081632653061225,0.858490563788504
4,0.9024390243902439,0.9823008849557522,0.8378378394487742,0.9489795918367347,0.820754718105748
5,0.8861788617886179,0.9734513274336283,0.8198198225047137,0.9489795918367347,0.8867924505809568
6,0.8699187016099449,1.0,0.8378378394487742,0.9489795918367347,0.9150943396226415
7,0.9105691056910569,0.9911504424778761,0.8288288299027864,0.9489795918367347,0.9339622641509434
8,0.9105691056910569,0.9734513274336283,0.8738738754848102,0.9387755102040817,0.9245282996375606
9,0.9349593495934959,0.9911504424778761,0.828828830976744,0.9285714285714286,0.9716981132075472
10,0.943089430894309,0.9823008849557522,0.8558558574667922,0.9489795918367347,0.9433962264150944
11,0.9024390243902439,0.9823008849557522,0.8108108129587259,0.9591836734693877,0.9433962264150944
12,0.926829268292683,0.9734513274336283,0.9279279284649067,0.9387755102040817,0.8867924539548047
13,0.9186991869918699,0.9911504424778761,0.8648648664758012,0.9795918367346939,0.9622641509433962
14,0.8455284547999622,0.9557522123893806,0.8468468495317407,0.9795918367346939,0.9622641509433962
15,0.926829268292683,0.9823008849557522,0.9369369380108945,0.9693877551020408,0.9150943373734096
16,0.926829268292683,0.9469026548672567,0.855855858003771,0.9591836734693877,0.9622641509433962
17,0.926829268292683,0.9646017699115044,0.8198198225047137,0.9591836734693877,0.9622641509433962
18,0.943089430894309,0.9646017699115044,0.8288288320507016,0.9489795918367347,0.9811320754716981
19,0.9512195121951219,0.9734513274336283,0.9459459475568823,0.9489795918367347,0.9245282996375606
20,0.9512195121951219,0.9823008849557522,0.9459459470199035,0.9591836734693877,0.9339622641509434
21,0.943089430894309,0.9734513274336283,0.882882885030798,0.9591836734693877,0.9716981132075472
22,0.943089430894309,0.9911504424778761,0.9369369374739157,0.9489795918367347,0.9716981132075472
23,0.9512195121951219,0.9823008849557522,0.9189189205298552,0.9387755102040817,0.9716981132075472
24,0.9186991869918699,0.9823008849557522,0.8648648675497588,0.9795918367346939,0.9716981132075472
25,0.9512195121951219,0.9823008849557522,0.8828828844938192,0.9591836734693877,0.9528301886792453
26,0.9512195121951219,0.9823008849557522,0.9549549560289126,0.9591836734693877,0.9528301886792453
27,0.9512195121951219,0.9823008849557522,0.8918918951137645,0.9795918367346939,0.9716981132075472
28,0.943089430894309,1.0,0.9279279295388643,0.9591836734693877,0.9716981132075472
29,0.9512195121951219,1.0,0.8738738765587678,0.9795918367346939,0.9716981132075472
30,0.975609756097561,0.9823008849557522,0.900900903048816,0.9591836734693877,0.9716981132075472
31,0.9512195121951219,0.9734513274336283,0.8378378410597105,0.9795918367346939,0.9811320754716981
32,0.967479674796748,0.9823008849557522,0.8738738765587678,0.9387755102040817,0.9716981132075472
33,0.9512195121951219,0.9911504424778761,0.9189189205298552,0.9591836734693877,0.9339622641509434
34,0.9186991869918699,0.9911504424778761,0.9099099125948038,0.9795918367346939,0.9716981132075472
35,0.9186991869918699,1.0,0.8288288320507016,0.9795918367346939,0.9622641509433962
36,0.926829268292683,0.9823008849557522,0.8558558590777285,0.9795918367346939,0.9716981132075472
37,0.975609756097561,0.9911504424778761,0.8288288320507016,1.0,0.9905660377358491
38,0.9512195121951219,0.9823008849557522,0.900900903048816,0.9693877551020408,0.9622641509433962
39,0.943089430894309,0.9911504424778761,0.8648648680867376,1.0,0.9905660377358491
40,0.9512195121951219,0.9823008849557522,0.8918918951137645,0.9795918367346939,0.9339622641509434
41,0.9349593495934959,1.0,0.8738738765587678,0.9795918367346939,0.9528301886792453
42,0.9512195121951219,1.0,0.8828828855677768,0.9795918367346939,0.9622641509433962
43,0.9268292707156359,0.9823008849557522,0.9099099115208462,0.9795918367346939,0.9433962241658624
44,0.959349593495935,0.9823008849557522,0.8558558590777285,0.9489795918367347,0.9622641509433962
45,0.9512195121951219,0.9823008849557522,0.9549549565658914,0.9795918367346939,0.9245283030114084
46,0.9268292707156359,0.9911504424778761,0.8468468500687195,0.9693877551020408,0.9622641509433962
47,0.934959352016449,0.9911504424778761,0.9369369396218309,0.9795918367346939,0.9622641509433962
48,0.9349593495934959,0.9823008849557522,0.9009009041227736,0.9795918367346939,0.9811320754716981
49,0.9349593495934959,0.9557522123893806,0.9369369385478733,0.9693877551020408,0.9716981132075472
