epoch,baroque,camo,color block,leopard,solid color,,
0,0.792452832437911,0.803921568627451,0.608000001907349,0.669811320754717,0.75,,0.724837144745486
1,0.792452831313295,0.813725490196078,0.496000000238419,0.839622643758666,0.866071428571429,,0.761574478815577
2,0.849056601524353,0.92156862745098,0.664000000953674,0.849056602648969,0.830357142857143,,0.822807795087024
3,0.91509433737341,0.96078431372549,0.672000000953674,0.867924529426503,0.883928571428571,,0.85994635058153
4,0.924528299637561,0.970588235294117,0.656000000953674,0.91509433737341,0.9375,,0.880742174651752
5,0.943396224165862,0.950980392156863,0.752000000476837,0.896226416218956,0.928571428571429,,0.894234892317989
6,0.943396224165862,0.950980392156863,0.768000000476837,0.915094340747257,0.901785714285714,,0.895851334366507
7,0.952830186430013,0.970588235294117,0.720000000476837,0.924528299637561,0.946428571428571,,0.90287505865342
8,0.952830186430013,0.980392156862745,0.848000000476837,0.877358489441422,0.928571428571429,,0.917430452356489
9,0.933962261901712,0.980392156862745,0.824000000476837,0.896226416218956,0.946428571428571,,0.916201881377764
10,0.962264148694164,0.980392156862745,0.824000000476837,0.924528303011408,0.910714285714286,,0.920379778951888
11,0.971698110958315,0.980392156862745,0.840000000476837,0.886792453954805,0.910714285714286,,0.917919401593398
12,0.962264148694164,0.96078431372549,0.792,0.924528299637561,0.946428571428571,,0.917201066697157
13,0.981132073222466,0.980392156862745,0.872,0.91509433737341,0.919642857142857,,0.933652284920295
14,0.981132073222466,0.96078431372549,0.832000001430511,0.91509433737341,0.9375,,0.925302145150375
15,0.943396224165862,0.96078431372549,0.864,0.933962261901712,0.955357142857143,,0.931499988530041
16,0.962264148694164,0.96078431372549,0.864000000476837,0.905660375109259,0.928571428571429,,0.924256053315436
17,0.952830186430013,0.980392156862745,0.896,0.943396224165862,0.910714285714286,,0.936666570634581
18,0.943396224165862,0.970588235294117,0.888000000476837,0.877358491690654,0.946428571428571,,0.925154304611208
19,0.952830186430013,0.980392156862745,0.888000000476837,0.91509433737341,0.919642857142857,,0.931191907657172
20,0.952830186430013,0.980392156862745,0.904,0.924528303011408,0.9375,,0.939850129260833
21,0.971698110958315,0.970588235294117,0.912,0.886792453954805,0.9375,,0.935715760041447
22,0.981132075471698,0.980392156862745,0.904000000953674,0.886792453954805,0.955357142857143,,0.941534766020013
23,0.971698110958315,0.980392156862745,0.880000000953674,0.886792453954805,0.955357142857143,,0.934847973117337
24,0.962264148694164,0.980392156862745,0.896000000476837,0.886792453954805,0.9375,,0.93258975199771
25,0.952830186430013,0.990196078431373,0.92,0.91509433737341,0.9375,,0.943124120446959
26,0.971698113207547,0.980392156862745,0.880000000476837,0.91509433737341,0.973214285714286,,0.944079778726965
27,0.971698113207547,0.980392156862745,0.88,0.91509433737341,0.973214285714286,,0.944079778631597
28,0.981132075471698,0.990196078431373,0.888000000476837,0.896226416218956,0.964285714285714,,0.943968056976916
29,0.971698113207547,0.96078431372549,0.904,0.943396224165862,0.946428571428571,,0.945261444505494
30,0.962264150943396,0.980392156862745,0.88,0.91509433737341,0.991071428571429,,0.945764414750196
31,0.971698113207547,0.980392156862745,0.856000000476837,0.933962261901712,0.982142857142857,,0.94483907791834
32,0.971698110958315,0.990196078431373,0.928,0.924528299637561,0.946428571428571,,0.952170212091164
33,0.981132075471698,0.990196078431373,0.904000000476837,0.91509433737341,0.946428571428571,,0.947370212636378
34,0.943396226415094,0.990196078431373,0.896000000476837,0.933962261901712,0.973214285714286,,0.94735377058786
35,0.981132075471698,0.980392156862745,0.888000000953674,0.905660375109259,0.982142857142857,,0.947465493108047
36,0.981132075471698,0.970588235294117,0.856000000953674,0.933962261901712,0.982142857142857,,0.944765086152812
37,0.981132075471698,0.990196078431373,0.928,0.924528299637561,0.946428571428571,,0.95405700499384
38,0.971698113207547,0.970588235294117,0.904,0.933962261901712,0.964285714285714,,0.948906864937818
39,0.962264150943396,0.990196078431373,0.904000000476837,0.943396224165862,0.973214285714286,,0.954614147946351
40,0.971698113207547,0.990196078431373,0.904,0.943396224165862,0.946428571428571,,0.951143797446671
41,0.981132075471698,0.980392156862745,0.928,0.943396224165862,0.9375,,0.954084091300061
42,0.971698113207547,0.980392156862745,0.912,0.943396224165862,0.955357142857143,,0.95256872741866
43,0.981132075471698,0.970588235294117,0.928,0.943396224165862,0.946428571428571,,0.95390902127205
44,0.981132075471698,0.980392156862745,0.944,0.943396224165862,0.9375,,0.957284091300061
45,0.971698113207547,0.970588235294117,0.92,0.952830186430013,0.955357142857143,,0.954094735557764
46,0.971698113207547,0.970588235294117,0.952,0.952830186430013,0.946428571428571,,0.95870902127205
47,0.971698113207547,0.970588235294117,0.944,0.943396224165862,0.928571428571429,,0.951650800247791
48,0.971698113207547,0.970588235294117,0.92,0.943396224165862,0.955357142857143,,0.952207943104934
49,0.971698113207547,0.970588235294117,0.944,0.943396224165862,0.9375,,0.953436514533505
,,,,,,,
,,,,,,,0.95870902127205
